location,gdp_per_capita,reproduction_rate
Spain,34272.36,1.1482722007722006
Sweden,46949.283,1.143827519379845
Belgium,42658.576,1.1231395348837208
Switzerland,57410.166,1.1095353339787029
Germany,45229.245,1.0975409836065575
Australia,44648.71,1.0954961089494164
Brazil,14103.452,1.0905560975609756
France,38605.671,1.0890173410404624
Peru,12236.706,1.0810088148873653
United States,54225.446,1.0809381044487427
Bolivia,6885.829,1.0801588877855015
Hungary,26777.561,1.0798131760078664
Luxembourg,94277.965,1.077737512242899
Japan,39002.223,1.077189292543021
South Korea,35938.374,1.0726456542502387
World,15469.207,1.0701579925650557
Netherlands,48472.545,1.0697192642787996
Italy,35220.084,1.0682854406130269
Austria,45436.686,1.063920233463035
Guatemala,7423.808,1.0629689067201604
Lesotho,2851.153,0.5626571113561191
Sao Tome and Principe,3052.714,0.5605246913580247
Grenada,13593.877,0.55721399730821
Gambia,1561.767,0.5553683035714286
Mauritius,20292.745,0.5482755203171458
Liberia,752.788,0.5358680203045686
Tonga,5425.621,0.5078947368421053
Cameroon,3364.926,0.4876709613478692
Benin,2064.236,0.4830721649484536
Micronesia (country),3299.464,0.46189024390243905
Congo,4881.406,0.4533568548387097
Dominica,9673.367,0.4243801652892562
Tajikistan,2896.913,0.38247687564234323
Marshall Islands,3819.202,0.37773972602739725
Central African Republic,661.24,0.37067079463364294
Solomon Islands,2205.923,0.3260579710144928
Tuvalu,3575.104,0.28706896551724137
Kiribati,1981.132,0.25252199413489734
Tanzania,2683.304,0.16175757575757574
Nauru,12895.635,0.12112244897959183
