location,total_cases
Afghanistan,111654.08189655172
Africa,6797663.175862069
Albania,158620.4
Algeria,156832.52586206896
American Samoa,2244.8060344827586
Andorra,21048.07844827586
Angola,51539.471551724135
Anguilla,1354.151724137931
Antigua and Barbuda,3690.658620689655
Argentina,4845659.354202402
Armenia,245366.90431034483
Aruba,18774.80309544282
Asia,84497212.10987124
Australia,2953661.821858864
Austria,1880392.747639485
Azerbaijan,423159.94655172416
Bahamas,18457.69568965517
Bahrain,305866.58103448275
Bangladesh,1121385.071305842
Barbados,33843.42931034483
Belarus,509242.3525862069
Belgium,1955870.4987080104
Belize,29223.387068965516
Benin,14529.477586206896
Bermuda,6805.585344827587
Bhutan,19151.730172413794
Bolivia,518370.23189655173
Bonaire Sint Eustatius and Saba,4273.683620689655
Bosnia and Herzegovina,212506.88620689654
Botswana,148856.52155172414
Brazil,18067464.92268041
British Virgin Islands,2951.819827586207
Brunei,69091.5275862069
Bulgaria,584463.981083405
Burkina Faso,12531.15603448276
Burundi,19990.920689655173
Cambodia,68128.75948275861
Cameroon,72233.54051724137
Canada,1924232.2224137932
Cape Verde,32205.152586206896
Cayman Islands,10257.881896551724
Central African Republic,9495.04051724138
Chad,4469.910344827586
Chile,2005693.6944206008
China,7616310.861206897
Colombia,3611987.351724138
Comoros,4390.06724137931
Congo,13915.292241379311
Cook Islands,1796.2327586206898
Costa Rica,497110.58706896554
Cote d'Ivoire,49812.29913793103
Croatia,555085.9784482758
Cuba,535552.6345657782
Curacao,19902.106896551722
Cyprus,217202.61293103447
Czechia,2096798.896137339
Democratic Republic of Congo,48993.86637931035
Denmark,1229602.5055793992
Djibouti,10158.818103448275
Dominica,5675.208620689656
Dominican Republic,343233.23793103447
Ecuador,501243.5922413793
Egypt,286943.91465517244
El Salvador,97302.15344827586
England,0.0
Equatorial Guinea,9894.840517241379
Eritrea,5349.2844827586205
Estonia,250366.18620689656
Eswatini,36861.099137931036
Ethiopia,275654.63706896553
Europe,93022912.91502146
European Union,65882279.59914163
Faeroe Islands,12592.183620689655
Falkland Islands,513.8818965517241
Fiji,31548.837931034483
Finland,458396.8647717485
France,13258216.067067929
French Guiana,43270.83534482759
French Polynesia,36622.34051724138
Gabon,27110.73879310345
Gambia,7262.81724137931
Georgia,773240.2206896552
Germany,11721169.9527897
Ghana,101592.42931034483
Gibraltar,8497.481896551724
Greece,1705774.835910653
Greenland,4421.821551724138
Grenada,6965.431896551724
Guadeloupe,72044.70172413794
Guam,19706.956896551725
Guatemala,495096.73793103447
Guernsey,10483.069827586207
Guinea,23299.766379310346
Guinea-Bissau,4981.173275862069
Guyana,32002.954310344827
Haiti,19060.665517241378
High income,150431619.31759655
Honduras,259597.06637931033
Hong Kong,0.0
Hungary,981528.2362068966
Iceland,70548.1922413793
India,24890164.128755365
Indonesia,3171525.425
Iran,3956663.452586207
Iraq,1380783.2568965517
Ireland,686240.3003442341
Isle of Man,13937.288793103447
Israel,1897660.4575107296
Italy,8603347.874570446
Jamaica,70703.34767641996
Japan,6232908.7441860465
Jersey,22274.960344827585
Jordan,850109.8534482758
Kazakhstan,742202.1818965517
Kenya,189900.7327586207
Kiribati,1193.4103448275862
Kosovo,130990.91034482759
Kuwait,354619.63275862066
Kyrgyzstan,125307.34135855547
Laos,78956.11379310345
Latvia,352761.1051724138
Lebanon,596621.5603448276
Lesotho,17283.59396551724
Liberia,4348.973275862069
Libya,264983.174137931
Liechtenstein,7717.642241379311
Lithuania,520793.622527945
Low income,1199952.1706896552
Lower middle income,48890106.195708156
Luxembourg,121392.64568965517
Macao,0.0
