,date,World
0,2020-01-03,0.0
1,2020-01-04,3.0
2,2020-01-05,3.0
3,2020-01-06,6.0
4,2020-01-07,6.0
5,2020-01-08,6.0
6,2020-01-09,7.0
7,2020-01-10,7.0
8,2020-01-11,8.0
9,2020-01-12,50.0
10,2020-01-13,51.0
11,2020-01-14,57.0
12,2020-01-15,57.0
13,2020-01-16,57.0
14,2020-01-17,58.0
15,2020-01-18,62.0
16,2020-01-19,139.0
17,2020-01-20,218.0
18,2020-01-21,311.0
19,2020-01-22,459.0
20,2020-01-23,590.0
21,2020-01-24,865.0
22,2020-01-25,1338.0
23,2020-01-26,2035.0
24,2020-01-27,2825.0
25,2020-01-28,4600.0
26,2020-01-29,6089.0
27,2020-01-30,7845.0
28,2020-01-31,9858.0
29,2020-02-01,11970.0
30,2020-02-02,14575.0
31,2020-02-03,17411.0
32,2020-02-04,20666.0
33,2020-02-05,24600.0
34,2020-02-06,28318.0
35,2020-02-07,31474.0
36,2020-02-08,34879.0
37,2020-02-09,37541.0
38,2020-02-10,40535.0
39,2020-02-11,43019.0
40,2020-02-12,45054.0
41,2020-02-13,60214.0
42,2020-02-14,64290.0
43,2020-02-15,66949.0
44,2020-02-16,68986.0
45,2020-02-17,71045.0
46,2020-02-18,72955.0
47,2020-02-19,74761.0
48,2020-02-20,75188.0
49,2020-02-21,76209.0
50,2020-02-22,77273.0
51,2020-02-23,78248.0
52,2020-02-24,78777.0
53,2020-02-25,79616.0
54,2020-02-26,80473.0
55,2020-02-27,81555.0
56,2020-02-28,82929.0
57,2020-02-29,84695.0
58,2020-03-01,86494.0
59,2020-03-02,88160.0
60,2020-03-03,90475.0
61,2020-03-04,93456.0
62,2020-03-05,95959.0
63,2020-03-06,99606.0
64,2020-03-07,103287.0
65,2020-03-08,107009.0
66,2020-03-09,110919.0
67,2020-03-10,116021.0
68,2020-03-11,121837.0
69,2020-03-12,130017.0
70,2020-03-13,140171.0
71,2020-03-14,152212.0
72,2020-03-15,165498.0
73,2020-03-16,178360.0
74,2020-03-17,194947.0
75,2020-03-18,214545.0
76,2020-03-19,238584.0
77,2020-03-20,267422.0
78,2020-03-21,300238.0
79,2020-03-22,336253.0
80,2020-03-23,369934.0
81,2020-03-24,410990.0
82,2020-03-25,458546.0
83,2020-03-26,509917.0
84,2020-03-27,570428.0
85,2020-03-28,637396.0
86,2020-03-29,704094.0
87,2020-03-30,762376.0
88,2020-03-31,826493.0
89,2020-04-01,894328.0
90,2020-04-02,967907.0
91,2020-04-03,1044894.0
92,2020-04-04,1125818.0
93,2020-04-05,1203810.0
94,2020-04-06,1274886.0
95,2020-04-07,1342438.0
96,2020-04-08,1418797.0
97,2020-04-09,1498970.0
98,2020-04-10,1586189.0
99,2020-04-11,1674040.0
100,2020-04-12,1756903.0
101,2020-04-13,1830075.0
102,2020-04-14,1896562.0
103,2020-04-15,1967180.0
104,2020-04-16,2042010.0
105,2020-04-17,2121267.0
106,2020-04-18,2204704.0
107,2020-04-19,2286935.0
108,2020-04-20,2359519.0
109,2020-04-21,2431127.0
110,2020-04-22,2506237.0
111,2020-04-23,2581846.0
112,2020-04-24,2663048.0
113,2020-04-25,2760094.0
114,2020-04-26,2843624.0
115,2020-04-27,2923489.0
116,2020-04-28,2992864.0
117,2020-04-29,3063696.0
118,2020-04-30,3140857.0
119,2020-05-01,3223008.0
120,2020-05-02,3311883.0
121,2020-05-03,3399941.0
122,2020-05-04,3479180.0
123,2020-05-05,3558452.0
124,2020-05-06,3636469.0
125,2020-05-07,3719249.0
126,2020-05-08,3800234.0
127,2020-05-09,3900543.0
128,2020-05-10,3992910.0
129,2020-05-11,4079723.0
130,2020-05-12,4152196.0
131,2020-05-13,4233485.0
132,2020-05-14,4319585.0
133,2020-05-15,4406322.0
134,2020-05-16,4509027.0
135,2020-05-17,4608074.0
136,2020-05-18,4704901.0
137,2020-05-19,4784764.0
138,2020-05-20,4878117.0
139,2020-05-21,4983041.0
140,2020-05-22,5089752.0
141,2020-05-23,5197868.0
142,2020-05-24,5305053.0
143,2020-05-25,5402060.0
144,2020-05-26,5494925.0
145,2020-05-27,5584453.0
146,2020-05-28,5684859.0
147,2020-05-29,5793743.0
148,2020-05-30,5913818.0
149,2020-05-31,6035632.0
150,2020-06-01,6162980.0
151,2020-06-02,6272545.0
152,2020-06-03,6371644.0
153,2020-06-04,6496626.0
154,2020-06-05,6623272.0
155,2020-06-06,6750603.0
156,2020-06-07,6883319.0
157,2020-06-08,7008895.0
158,2020-06-09,7118175.0
159,2020-06-10,7228670.0
160,2020-06-11,7360775.0
161,2020-06-12,7501776.0
162,2020-06-13,7644381.0
163,2020-06-14,7789086.0
164,2020-06-15,7920737.0
165,2020-06-16,8038418.0
166,2020-06-17,8164537.0
167,2020-06-18,8346541.0
168,2020-06-19,8494290.0
169,2020-06-20,8640166.0
170,2020-06-21,8821586.0
171,2020-06-22,8976170.0
172,2020-06-23,9106366.0
173,2020-06-24,9247568.0
174,2020-06-25,9421568.0
175,2020-06-26,9600545.0
176,2020-06-27,9787455.0
177,2020-06-28,9982454.0
178,2020-06-29,10161039.0
179,2020-06-30,10318686.0
180,2020-07-01,10490762.0
181,2020-07-02,10676416.0
182,2020-07-03,10888371.0
183,2020-07-04,11102491.0
184,2020-07-05,11317550.0
185,2020-07-06,11509046.0
186,2020-07-07,11676645.0
187,2020-07-08,11854307.0
188,2020-07-09,12070382.0
189,2020-07-10,12297520.0
190,2020-07-11,12521162.0
191,2020-07-12,12755994.0
192,2020-07-13,12976086.0
193,2020-07-14,13170787.0
194,2020-07-15,13365886.0
195,2020-07-16,13599820.0
196,2020-07-17,13846495.0
197,2020-07-18,14094423.0
198,2020-07-19,14342491.0
199,2020-07-20,14574081.0
200,2020-07-21,14780393.0
201,2020-07-22,14992510.0
202,2020-07-23,15244074.0
203,2020-07-24,15535856.0
204,2020-07-25,15820384.0
205,2020-07-26,16095962.0
206,2020-07-27,16349802.0
207,2020-07-28,16566677.0
208,2020-07-29,16797451.0
209,2020-07-30,17061244.0
210,2020-07-31,17363526.0
211,2020-08-01,17655195.0
212,2020-08-02,17941561.0
213,2020-08-03,18199279.0
214,2020-08-04,18424685.0
215,2020-08-05,18646764.0
216,2020-08-06,18922031.0
217,2020-08-07,19215095.0
218,2020-08-08,19497884.0
219,2020-08-09,19788258.0
220,2020-08-10,20051807.0
221,2020-08-11,20274122.0
222,2020-08-12,20507394.0
223,2020-08-13,20803398.0
224,2020-08-14,21095534.0
225,2020-08-15,21393374.0
226,2020-08-16,21681360.0
227,2020-08-17,21936293.0
228,2020-08-18,22159832.0
229,2020-08-19,22396069.0
230,2020-08-20,22680170.0
231,2020-08-21,22968702.0
232,2020-08-22,23247711.0
233,2020-08-23,23511472.0
234,2020-08-24,23773747.0
235,2020-08-25,23999534.0
236,2020-08-26,24235749.0
237,2020-08-27,24526134.0
238,2020-08-28,24817356.0
239,2020-08-29,25102557.0
240,2020-08-30,25391218.0
241,2020-08-31,25667914.0
242,2020-09-01,25896476.0
243,2020-09-02,26173102.0
244,2020-09-03,26465499.0
245,2020-09-04,26764198.0
246,2020-09-05,27060729.0
247,2020-09-06,27379806.0
248,2020-09-07,27651845.0
249,2020-09-08,27888368.0
250,2020-09-09,28134598.0
251,2020-09-10,28410725.0
252,2020-09-11,28713007.0
253,2020-09-12,29017961.0
254,2020-09-13,29339001.0
255,2020-09-14,29631232.0
256,2020-09-15,29887030.0
257,2020-09-16,30163144.0
258,2020-09-17,30477174.0
259,2020-09-18,30798113.0
260,2020-09-19,31109782.0
261,2020-09-20,31439599.0
262,2020-09-21,31733938.0
263,2020-09-22,31986134.0
264,2020-09-23,32268822.0
265,2020-09-24,32595175.0
266,2020-09-25,32910920.0
267,2020-09-26,33222451.0
268,2020-09-27,33545054.0
269,2020-09-28,33836924.0
270,2020-09-29,34090264.0
271,2020-09-30,34376913.0
272,2020-10-01,34707679.0
273,2020-10-02,35037910.0
274,2020-10-03,35357161.0
275,2020-10-04,35691330.0
276,2020-10-05,36000046.0
277,2020-10-06,36271255.0
278,2020-10-07,36588616.0
279,2020-10-08,36966044.0
280,2020-10-09,37322095.0
281,2020-10-10,37683128.0
282,2020-10-11,38064545.0
283,2020-10-12,38401579.0
284,2020-10-13,38711840.0
285,2020-10-14,39063179.0
286,2020-10-15,39448338.0
287,2020-10-16,39847473.0
288,2020-10-17,40244019.0
289,2020-10-18,40674979.0
290,2020-10-19,41058806.0
291,2020-10-20,41411171.0
292,2020-10-21,41850368.0
293,2020-10-22,42333281.0
294,2020-10-23,42808168.0
295,2020-10-24,43270983.0
296,2020-10-25,43790478.0
297,2020-10-26,44248211.0
298,2020-10-27,44658438.0
299,2020-10-28,45163372.0
300,2020-10-29,45709837.0
301,2020-10-30,46244791.0
302,2020-10-31,46762958.0
303,2020-11-01,47328618.0
304,2020-11-02,47819915.0
305,2020-11-03,48328968.0
