,World,YearMonth
0,37610.0,January2020
1,1624205.0,February2020
2,8681644.0,March2020
3,60404114.0,April2020
4,141183267.0,May2020
5,242240873.0,June2020
6,425738594.0,July2020
7,670512199.0,August2020
8,902967984.0,September2020
9,1245392078.0,October2020
10,1664272138.0,November2020
11,2286352607.0,December2020
12,2900688418.0,January2021
13,3041009950.0,February2021
14,3739350988.0,March2021
15,4166934761.0,April2021
16,5010010874.0,May2021
17,5293741298.0,June2021
18,5873146424.0,July2021
19,6442347474.0,August2021
20,6789602639.0,September2021
21,7453463664.0,October2021
22,7636553530.0,November2021
23,8469952020.0,December2021
24,10201886966.0,January2022
25,11518526737.0,February2022
26,14320144179.0,March2022
27,15039411571.0,April2022
28,16129569912.0,May2022
29,16082732114.0,June2022
30,17365031288.0,July2022
31,18271552542.0,August2022
32,18250342955.0,September2022
33,19288343766.0,October2022
34,19016979540.0,November2022
35,20772866864.0,December2022
36,23174639148.0,January2023
37,21177868394.0,February2023
38,5313521483.0,March2023
