,date,Africa,Asia,Europe,North America,Oceania,South America
0,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-04,0.0,1.0,2.0,0.0,0.0,0.0
2,2020-01-05,0.0,1.0,2.0,0.0,0.0,0.0
3,2020-01-06,0.0,4.0,2.0,0.0,0.0,0.0
4,2020-01-07,0.0,4.0,2.0,0.0,0.0,0.0
5,2020-01-08,0.0,4.0,2.0,0.0,0.0,0.0
6,2020-01-09,0.0,4.0,3.0,0.0,0.0,0.0
7,2020-01-10,0.0,4.0,3.0,0.0,0.0,0.0
8,2020-01-11,0.0,4.0,4.0,0.0,0.0,0.0
9,2020-01-12,0.0,45.0,5.0,0.0,0.0,0.0
10,2020-01-13,0.0,46.0,5.0,0.0,0.0,0.0
11,2020-01-14,0.0,51.0,6.0,0.0,0.0,0.0
12,2020-01-15,0.0,51.0,6.0,0.0,0.0,0.0
13,2020-01-16,0.0,51.0,6.0,0.0,0.0,0.0
14,2020-01-17,0.0,52.0,6.0,0.0,0.0,0.0
15,2020-01-18,0.0,56.0,6.0,0.0,0.0,0.0
16,2020-01-19,0.0,133.0,6.0,0.0,0.0,0.0
17,2020-01-20,0.0,210.0,7.0,1.0,0.0,0.0
18,2020-01-21,0.0,303.0,7.0,1.0,0.0,0.0
19,2020-01-22,0.0,451.0,7.0,1.0,0.0,0.0
20,2020-01-23,0.0,581.0,8.0,1.0,0.0,0.0
21,2020-01-24,0.0,852.0,12.0,1.0,0.0,0.0
22,2020-01-25,0.0,1319.0,12.0,6.0,1.0,0.0
23,2020-01-26,0.0,2011.0,12.0,8.0,4.0,0.0
24,2020-01-27,0.0,2801.0,12.0,8.0,4.0,0.0
25,2020-01-28,0.0,4573.0,12.0,10.0,5.0,0.0
26,2020-01-29,0.0,6058.0,16.0,10.0,5.0,0.0
27,2020-01-30,0.0,7808.0,19.0,11.0,7.0,0.0
28,2020-01-31,0.0,9814.0,24.0,11.0,9.0,0.0
29,2020-02-01,0.0,11920.0,29.0,12.0,9.0,0.0
30,2020-02-02,0.0,14519.0,31.0,13.0,12.0,0.0
31,2020-02-03,0.0,17354.0,31.0,14.0,12.0,0.0
32,2020-02-04,0.0,20599.0,34.0,21.0,12.0,0.0
33,2020-02-05,0.0,24505.0,56.0,26.0,13.0,0.0
34,2020-02-06,0.0,28218.0,58.0,28.0,14.0,0.0
35,2020-02-07,0.0,31375.0,60.0,24.0,15.0,0.0
36,2020-02-08,0.0,34772.0,66.0,26.0,15.0,0.0
37,2020-02-09,0.0,37433.0,66.0,27.0,15.0,0.0
38,2020-02-10,0.0,40424.0,69.0,27.0,15.0,0.0
39,2020-02-11,0.0,42905.0,72.0,27.0,15.0,0.0
40,2020-02-12,0.0,44936.0,76.0,27.0,15.0,0.0
41,2020-02-13,0.0,60091.0,81.0,27.0,15.0,0.0
42,2020-02-14,5.0,64156.0,85.0,29.0,15.0,0.0
43,2020-02-15,5.0,66813.0,86.0,30.0,15.0,0.0
44,2020-02-16,5.0,68848.0,87.0,31.0,15.0,0.0
45,2020-02-17,5.0,70905.0,88.0,32.0,15.0,0.0
46,2020-02-18,5.0,72813.0,90.0,32.0,15.0,0.0
47,2020-02-19,5.0,74615.0,92.0,34.0,15.0,0.0
48,2020-02-20,5.0,75035.0,94.0,39.0,15.0,0.0
49,2020-02-21,5.0,76050.0,96.0,43.0,15.0,0.0
50,2020-02-22,5.0,77092.0,110.0,45.0,21.0,0.0
51,2020-02-23,5.0,77996.0,175.0,50.0,22.0,0.0
52,2020-02-24,5.0,78461.0,231.0,58.0,22.0,0.0
53,2020-02-25,5.0,79192.0,338.0,59.0,22.0,0.0
54,2020-02-26,6.0,79937.0,444.0,63.0,23.0,0.0
55,2020-02-27,6.0,80901.0,556.0,68.0,23.0,1.0
56,2020-02-28,6.0,81942.0,880.0,76.0,24.0,1.0
57,2020-02-29,7.0,83331.0,1243.0,86.0,26.0,2.0
58,2020-03-01,7.0,84741.0,1624.0,94.0,26.0,2.0
59,2020-03-02,19.0,85680.0,2322.0,105.0,30.0,4.0
60,2020-03-03,23.0,87382.0,2896.0,135.0,30.0,9.0
61,2020-03-04,27.0,89493.0,3705.0,186.0,35.0,9.0
62,2020-03-05,40.0,90741.0,4863.0,246.0,46.0,22.0
63,2020-03-06,42.0,92747.0,6381.0,338.0,61.0,36.0
64,2020-03-07,56.0,94557.0,8117.0,428.0,68.0,60.0
65,2020-03-08,94.0,95840.0,10357.0,574.0,75.0,70.0
66,2020-03-09,102.0,96856.0,13055.0,738.0,82.0,88.0
67,2020-03-10,120.0,98042.0,16687.0,966.0,98.0,109.0
68,2020-03-11,133.0,99542.0,20546.0,1384.0,106.0,127.0
69,2020-03-12,148.0,100985.0,26652.0,1936.0,130.0,171.0
70,2020-03-13,178.0,102569.0,34494.0,2518.0,148.0,264.0
71,2020-03-14,251.0,104697.0,43398.0,3347.0,206.0,321.0
72,2020-03-15,337.0,106499.0,53559.0,4434.0,260.0,412.0
73,2020-03-16,409.0,108186.0,63173.0,5751.0,309.0,535.0
74,2020-03-17,508.0,110222.0,75073.0,8000.0,354.0,813.0
75,2020-03-18,627.0,112323.0,89447.0,10610.0,445.0,1101.0
76,2020-03-19,749.0,114464.0,107240.0,14106.0,615.0,1422.0
77,2020-03-20,940.0,116857.0,127739.0,19318.0,760.0,1829.0
78,2020-03-21,1146.0,119339.0,150704.0,25951.0,961.0,2147.0
79,2020-03-22,1368.0,122265.0,174391.0,33865.0,1187.0,3190.0
80,2020-03-23,1679.0,125365.0,194301.0,43582.0,1556.0,3493.0
81,2020-03-24,2078.0,129350.0,217958.0,54886.0,1918.0,4815.0
82,2020-03-25,2519.0,133762.0,247766.0,66230.0,2514.0,5777.0
83,2020-03-26,2940.0,138480.0,280617.0,78396.0,2772.0,6733.0
84,2020-03-27,3605.0,144782.0,316651.0,94482.0,3418.0,7524.0
85,2020-03-28,4274.0,151983.0,354148.0,114232.0,3900.0,8880.0
86,2020-03-29,4621.0,159218.0,389712.0,135819.0,4396.0,10366.0
87,2020-03-30,5176.0,166631.0,416743.0,157677.0,4759.0,11415.0
88,2020-03-31,5687.0,173898.0,444045.0,185409.0,5076.0,12395.0
89,2020-04-01,6243.0,182922.0,483071.0,202914.0,5484.0,13737.0
90,2020-04-02,6830.0,191249.0,519692.0,228057.0,5841.0,16245.0
91,2020-04-03,7689.0,199797.0,554169.0,258654.0,6151.0,18464.0
92,2020-04-04,8572.0,208488.0,591229.0,290896.0,6435.0,20209.0
93,2020-04-05,9296.0,215159.0,625248.0,324969.0,6679.0,22478.0
94,2020-04-06,10053.0,224938.0,649595.0,358963.0,6847.0,24494.0
95,2020-04-07,10725.0,234462.0,674990.0,388509.0,6984.0,26769.0
96,2020-04-08,11522.0,244283.0,707783.0,419331.0,7135.0,28767.0
97,2020-04-09,12202.0,254213.0,742449.0,450757.0,7266.0,32090.0
98,2020-04-10,12998.0,264150.0,776834.0,487729.0,7392.0,37104.0
99,2020-04-11,13765.0,275497.0,809364.0,524896.0,7501.0,43030.0
100,2020-04-12,14591.0,287784.0,839938.0,560644.0,7569.0,46393.0
101,2020-04-13,15314.0,299454.0,863754.0,594548.0,7619.0,49383.0
102,2020-04-14,16148.0,311064.0,885838.0,623685.0,7673.0,52153.0
103,2020-04-15,17053.0,322327.0,914438.0,651502.0,7731.0,54133.0
104,2020-04-16,18021.0,333853.0,942980.0,679663.0,7779.0,59718.0
105,2020-04-17,19294.0,346545.0,974746.0,707672.0,7797.0,65215.0
106,2020-04-18,20692.0,359174.0,1003969.0,742690.0,7871.0,70333.0
107,2020-04-19,21829.0,371051.0,1034608.0,776514.0,7928.0,75015.0
108,2020-04-20,23085.0,383446.0,1057295.0,807627.0,7961.0,80112.0
109,2020-04-21,24426.0,397595.0,1079641.0,836550.0,7978.0,84941.0
110,2020-04-22,25658.0,410934.0,1106082.0,866966.0,8004.0,88601.0
111,2020-04-23,27149.0,422938.0,1133195.0,896539.0,8015.0,94022.0
112,2020-04-24,28442.0,435664.0,1160654.0,930777.0,8031.0,99481.0
113,2020-04-25,29878.0,448711.0,1188128.0,967991.0,8056.0,117346.0
114,2020-04-26,31323.0,461192.0,1213530.0,1006826.0,8076.0,122681.0
115,2020-04-27,32777.0,472543.0,1233495.0,1043654.0,8087.0,132935.0
116,2020-04-28,33998.0,483865.0,1253973.0,1072901.0,8103.0,140038.0
117,2020-04-29,35668.0,495675.0,1275531.0,1100794.0,8120.0,147917.0
118,2020-04-30,37677.0,508436.0,1300194.0,1128811.0,8132.0,157612.0
119,2020-05-01,40130.0,521479.0,1325215.0,1159769.0,8152.0,168271.0
120,2020-05-02,41933.0,534916.0,1350236.0,1195158.0,8159.0,181478.0
121,2020-05-03,44003.0,546999.0,1373902.0,1232368.0,8179.0,194494.0
122,2020-05-04,45847.0,559382.0,1395329.0,1264838.0,8199.0,205598.0
123,2020-05-05,48578.0,574186.0,1414319.0,1295457.0,8223.0,217685.0
124,2020-05-06,50568.0,588759.0,1438635.0,1322381.0,8250.0,227876.0
125,2020-05-07,52592.0,604951.0,1465634.0,1349469.0,8280.0,238328.0
126,2020-05-08,55546.0,620593.0,1489534.0,1379600.0,8303.0,246673.0
127,2020-05-09,59295.0,636678.0,1513122.0,1412901.0,8322.0,270223.0
128,2020-05-10,62088.0,653260.0,1536017.0,1446750.0,8340.0,286460.0
129,2020-05-11,65429.0,670589.0,1555411.0,1476541.0,8355.0,303401.0
130,2020-05-12,68276.0,686392.0,1573735.0,1500708.0,8365.0,314720.0
131,2020-05-13,71383.0,705019.0,1597383.0,1525654.0,8382.0,325659.0
132,2020-05-14,74327.0,722678.0,1617764.0,1554251.0,8393.0,342177.0
133,2020-05-15,77579.0,742628.0,1639065.0,1576843.0,8409.0,361800.0
134,2020-05-16,80161.0,761545.0,1658077.0,1616929.0,8439.0,383897.0
135,2020-05-17,83381.0,781769.0,1677852.0,1649310.0,8459.0,407308.0
136,2020-05-18,87423.0,803344.0,1694420.0,1679672.0,8468.0,431569.0
137,2020-05-19,90333.0,824095.0,1710818.0,1703463.0,8487.0,447565.0
138,2020-05-20,93766.0,845500.0,1728314.0,1732498.0,8495.0,469542.0
139,2020-05-21,97805.0,869526.0,1748751.0,1760302.0,8517.0,498143.0
140,2020-05-22,102246.0,893421.0,1766822.0,1789620.0,8521.0,529120.0
141,2020-05-23,106363.0,918063.0,1783857.0,1822133.0,8535.0,558926.0
142,2020-05-24,110320.0,942100.0,1800851.0,1854700.0,8547.0,588529.0
143,2020-05-25,114723.0,965867.0,1816312.0,1881174.0,8550.0,615429.0
144,2020-05-26,118630.0,987117.0,1831063.0,1906293.0,8559.0,643260.0
145,2020-05-27,122407.0,1008836.0,1846766.0,1932713.0,8576.0,665151.0
146,2020-05-28,127695.0,1032512.0,1863821.0,1957407.0,8583.0,694837.0
147,2020-05-29,132524.0,1059075.0,1880261.0,1983829.0,8596.0,729452.0
148,2020-05-30,138449.0,1086970.0,1896604.0,2014763.0,8619.0,768405.0
149,2020-05-31,144591.0,1115298.0,1912977.0,2045388.0,8632.0,808738.0
150,2020-06-01,150233.0,1143679.0,1927595.0,2074771.0,8642.0,858051.0
151,2020-06-02,156305.0,1173146.0,1941373.0,2100755.0,8652.0,892310.0
152,2020-06-03,161341.0,1203411.0,1956468.0,2125404.0,8672.0,916347.0
153,2020-06-04,166652.0,1236088.0,1972801.0,2153630.0,8682.0,958767.0
154,2020-06-05,174494.0,1269259.0,1989079.0,2181456.0,8697.0,1000281.0
155,2020-06-06,180991.0,1302244.0,2005293.0,2209561.0,8708.0,1043798.0
156,2020-06-07,187941.0,1336322.0,2021050.0,2241613.0,8712.0,1087674.0
157,2020-06-08,193581.0,1369456.0,2037013.0,2270495.0,8718.0,1129623.0
158,2020-06-09,200539.0,1402721.0,2051002.0,2293862.0,8724.0,1161319.0
159,2020-06-10,207452.0,1437598.0,2066163.0,2320477.0,8730.0,1188244.0
160,2020-06-11,213937.0,1473577.0,2082325.0,2347583.0,8732.0,1234614.0
161,2020-06-12,221605.0,1511472.0,2098897.0,2378472.0,8750.0,1282573.0
162,2020-06-13,230013.0,1550368.0,2114623.0,2409532.0,8757.0,1331080.0
163,2020-06-14,239175.0,1589941.0,2130920.0,2446319.0,8770.0,1373952.0
164,2020-06-15,247888.0,1627895.0,2145475.0,2478937.0,8788.0,1411745.0
165,2020-06-16,256674.0,1664624.0,2159320.0,2504821.0,8806.0,1444165.0
166,2020-06-17,263864.0,1704092.0,2174357.0,2534670.0,8818.0,1478733.0
167,2020-06-18,273023.0,1745302.0,2190819.0,2568794.0,8844.0,1559754.0
168,2020-06-19,282549.0,1785659.0,2206861.0,2603943.0,8870.0,1606401.0
169,2020-06-20,291827.0,1828302.0,2223268.0,2641681.0,8897.0,1646183.0
170,2020-06-21,302579.0,1870759.0,2238343.0,2684532.0,8947.0,1716417.0
171,2020-06-22,311806.0,1911033.0,2251560.0,2725599.0,8976.0,1767187.0
172,2020-06-23,321164.0,1952841.0,2264608.0,2758690.0,8993.0,1800061.0
173,2020-06-24,330511.0,1996516.0,2278501.0,2797416.0,9013.0,1835602.0
174,2020-06-25,342012.0,2041923.0,2293762.0,2845287.0,9052.0,1889523.0
175,2020-06-26,354143.0,2086949.0,2308737.0,2891873.0,9105.0,1949730.0
176,2020-06-27,365899.0,2134233.0,2323199.0,2949373.0,9147.0,2005598.0
177,2020-06-28,378964.0,2182506.0,2337382.0,3005903.0,9199.0,2068492.0
178,2020-06-29,390083.0,2229726.0,2350229.0,3057043.0,9246.0,2124704.0
179,2020-06-30,400885.0,2273911.0,2362209.0,3101539.0,9334.0,2170800.0
180,2020-07-01,412591.0,2332201.0,2375319.0,3151945.0,9405.0,2209295.0
181,2020-07-02,426885.0,2382040.0,2389274.0,3210535.0,9514.0,2258160.0
182,2020-07-03,441267.0,2431968.0,2403085.0,3281633.0,9596.0,2320813.0
183,2020-07-04,456389.0,2484959.0,2416700.0,3349142.0,9856.0,2385437.0
184,2020-07-05,473092.0,2538692.0,2430345.0,3421799.0,9968.0,2443646.0
185,2020-07-06,487268.0,2591382.0,2442136.0,3479677.0,10057.0,2498520.0
186,2020-07-07,501693.0,2641751.0,2453851.0,3527747.0,10209.0,2541392.0
187,2020-07-08,515964.0,2693655.0,2467029.0,3590510.0,10383.0,2576764.0
188,2020-07-09,530056.0,2750509.0,2481213.0,3660181.0,10521.0,2637906.0
189,2020-07-10,548637.0,2806085.0,2495475.0,3736944.0,10699.0,2699682.0
190,2020-07-11,566572.0,2862250.0,2509855.0,3811387.0,11000.0,2760097.0
191,2020-07-12,585404.0,2918630.0,2524197.0,3892382.0,11204.0,2824168.0
192,2020-07-13,602248.0,2975276.0,2536288.0,3969701.0,11448.0,2881117.0
193,2020-07-14,618474.0,3032156.0,2547905.0,4036233.0,11632.0,2924378.0
194,2020-07-15,634595.0,3089016.0,2562312.0,4106755.0,11910.0,2961293.0
195,2020-07-16,653025.0,3149644.0,2577521.0,4185326.0,12156.0,3022140.0
196,2020-07-17,672633.0,3214127.0,2592867.0,4272595.0,12477.0,3081793.0
197,2020-07-18,691828.0,3276625.0,2607778.0,4355919.0,12903.0,3149365.0
198,2020-07-19,711316.0,3341827.0,2623509.0,4446586.0,13113.0,3206134.0
199,2020-07-20,730539.0,3407010.0,2637483.0,4527280.0,13481.0,3258279.0
200,2020-07-21,745302.0,3470471.0,2650846.0,4596545.0,13750.0,3303471.0
201,2020-07-22,758965.0,3536105.0,2666661.0,4670253.0,14128.0,3346393.0
202,2020-07-23,778611.0,3609737.0,2683946.0,4747501.0,14604.0,3409672.0
203,2020-07-24,797852.0,3686133.0,2701107.0,4834242.0,15021.0,3501494.0
204,2020-07-25,818715.0,3762580.0,2718068.0,4921798.0,15311.0,3583904.0
205,2020-07-26,836957.0,3836115.0,2736412.0,5009770.0,15674.0,3661037.0
206,2020-07-27,855100.0,3910029.0,2751487.0,5081748.0,16151.0,3735277.0
207,2020-07-28,868254.0,3983737.0,2766131.0,5147652.0,16696.0,3784198.0
208,2020-07-29,881557.0,4066503.0,2783696.0,5215939.0,17069.0,3832681.0
209,2020-07-30,899345.0,4152058.0,2803441.0,5288778.0,17352.0,3900263.0
210,2020-07-31,917589.0,4242045.0,2822793.0,5367385.0,18077.0,3995629.0
211,2020-08-01,935236.0,4332300.0,2841499.0,5446683.0,18693.0,4080780.0
